"File","Issues"
"C:\Abraham-of-london\components\content\DirectorateOversight.tsx","Switch statement may need top-secret case"
"C:\Abraham-of-london\lib\access\logic.ts","Switch statement may need top-secret case"
"C:\Abraham-of-london\lib\content\access-engine.ts","AccessTier array missing top-secret"
"C:\Abraham-of-london\lib\content\shared.ts","Switch statement may need top-secret case"
"C:\Abraham-of-london\lib\inner-circle\exports.server.ts","Switch statement may need top-secret case"
"C:\Abraham-of-london\lib\resources\surrender-framework.static.ts","AccessTier array missing top-secret"
"C:\Abraham-of-london\lib\server\access\session.ts","AccessTier array missing top-secret"
"C:\Abraham-of-london\lib\server\inner-circle-access.ts","Switch statement may need top-secret case"
"C:\Abraham-of-london\lib\contentlayer-helper.ts","Switch statement may need top-secret case"
"C:\Abraham-of-london\lib\seo.tsx","Switch statement may need top-secret case"
"C:\Abraham-of-london\lib\vault-engine.ts","Switch statement may need top-secret case"
"C:\Abraham-of-london\netlify\functions_src\functions\download.ts","Record<AccessTier> missing top-secret"
"C:\Abraham-of-london\netlify\functions_src\download.ts","Record<AccessTier> missing top-secret"
